"id","date","state","city","department","victim_number","victim_weight","reported_pitbull","actual_breed","source","source2","source3","victim_name","officer_name","seizure","survival","children","hospitalization","hospitalization_police_injury","arrest","fine","uniform","warrant_or_pc","beware_of_dog","suspension","firing","lawsuit","criminal_charge"
1454,"2008-01-06","Texas","Lubbock","Lubbock Police Department, Lubbock Animal Services",1,50,1,"Unconfirmed","https://web.archive.org/web/20150117151722/http://www.kcbd.com/Global/story.asp?S=7597472&amp;nav=menu69_2_9",,,"Wassa","Unknown",0,1,1,0,0,1,1,"Uniform",0,2,2,2,2,2
1455,"2008-05-01","Texas","Houston","Houston Police Department Central Patrol",1,2,1,"Unconfirmed","http://www.chron.com/news/houston-texas/article/Officer-suffers-bullet-graze-wound-while-shooting-1768566.php",,,"Unknown","Unknown",2,0,2,0,1,2,2,"Uniform",1,2,2,2,2,0
1456,"2009-10-07","Texas","La Marque","La Marque Police Department",1,2,1,"Unconfirmed","https://web.archive.org/web/20150117165907/http://abc13.com/archive/7054056/",,,"Unknown","Sabrina Sanders",0,1,1,0,1,0,2,"Uniform",2,2,1,0,2,0
1457,"2014-07-22","New Jersey","Bloomfield","Clifton Police Department, Clifton Animal Control",1,2,1,"Unconfirmed","http://baristanet.com/2014/07/clifton-police-detective-accidentally-shot-bloomfield-pit-bull-incident/",,,"Unknown","Two Unknown Detectives",1,2,2,0,1,2,2,"Not Sure",0,2,2,2,2,2
1458,"2008-02-20","Texas","Houston","Houston Police Department, City of Houston Bureau of Animal Regulation and Care",1,2,1,"Unconfirmed","https://web.archive.org/web/20150117175529/http://www.chron.com/news/houston-texas/article/HPD-officers-kill-charging-pit-bull-during-search-1592668.php",,,"Unknown","Unknown",1,0,0,0,1,1,1,"Uniform",1,2,2,2,2,2
1459,"2008-09-08","Texas","El Paso","El Paso Police Department, El Paso Environmental Services",1,2,1,"Unconfirmed","http://www.elpasotimes.com/newupdated/ci_10410428",,,"Unknown","Unknown",0,1,2,0,0,3,3,"Uniform",2,2,2,2,2,2
1460,"2014-11-13","Texas","El Paso","El Paso Police Department, El Paso Environmental Services",1,2,1,"Unconfirmed","http://cbs4local.com/news/features/el-paso-news/stories/Loose-pit-bull-shot-in-central-El-Paso-neighborhood-by-police-57374.shtml#.VLqmQUfF_Pw",,,"Unknown","Unknown",1,2,2,0,0,2,2,"Uniform",2,2,2,2,2,2
1461,"2008-01-28","California","French Camp","San Joaquin County Sheriffs Department",1,2,1,"Unconfirmed","http://www.recordnet.com/apps/pbcs.dll/article?AID=/20080130/A_NEWS/80129029/-1/RSS01",,,"Unknown","Christopher Ford, Aaron Dunsing",2,0,2,0,0,0,0,"Uniform",3,3,2,2,2,0
1462,"2013-04-26","California","French Camp","San Joaquin County Sheriffs Department",1,2,1,"Unconfirmed","http://www.kcra.com/news/local-news/news-stockton/dog-attacking-chickens-shot-dead-in-san-joaquin-county/19914264",,,"Unknown","Unknown",1,0,2,0,0,3,3,"Uniform",3,3,0,0,0,0
1463,"2008-01-30","Texas","El Paso","El Paso Police Department Gang Unit",1,2,1,"Unconfirmed, 5yo","http://www.elpasotimes.com/news/ci_8123758",,,"Unknown","Two Unknown Undercover Police",2,0,1,2,2,1,1,"Plain Clothes",0,2,2,2,2,0
